significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
609.1218,609.1218,1710.5417,1562.7614,976.9744,147.7803,733.5673,631.8503,540.1562,1170.3855,1.2963,0.8733,0,88,1165174016.2207,92.2006,1165174012.8125,34.0000,4.7500,148.0000,564,77,92,1,10
66.7329,66.7329,177.9192,166.6947,98.5386,11.2245,79.3806,25.2105,68.2661,109.6531,1.2963,0.8570,0,8,1165174149.7074,110.1447,1165174147.5000,109.2500,5.0000,1.5000,573,113,93,1,10
367.7801,367.7801,1071.0776,1004.0188,576.1540,67.0588,494.9236,445.4018,372.9394,698.1382,1.3426,0.7820,0,66,1165174027.7446,113.8393,1165174024.9375,66.0000,4.2500,124.0000,587,85,94,1,10
542.0242,542.0242,1271.5259,1247.7376,761.5303,23.7883,509.9956,78.0331,364.9219,906.6040,1.2521,0.9507,0,36,1165174156.8103,111.3249,1165174147.5000,109.2500,20.0000,4.0000,596,113,95,1,10
608.7562,608.7562,1672.4252,1561.7399,905.9198,110.6853,766.5054,668.1213,614.2541,1058.1711,1.3426,0.7820,0,83,1165174033.8140,101.5870,1165174028.6250,59.0000,7.5000,100.0000,597,84,96,1,10
48.9753,48.9753,155.4754,148.4087,106.6367,7.0667,48.8387,37.8416,27.9780,127.4974,1.2521,0.9670,0,15,1165174043.0926,51.1503,1165174041.6250,45.0000,3.0000,14.0000,621,85,97,1,10
1867.4987,1867.4987,4594.0992,4391.6258,2383.4878,202.4734,2210.6114,1851.6920,1861.7323,2732.3669,1.2963,0.8733,0,146,1165174052.8395,150.1755,1165174048.3750,107.0000,10.0000,134.0000,626,87,98,1,10
26.8375,26.8375,90.2213,82.6345,60.5978,7.5867,29.6235,26.8357,24.6596,65.5616,1.2963,0.8733,0,9,1165174036.1414,45.7030,1165174034.7500,43.5000,3.0000,4.0000,629,86,99,1,10
670.5875,670.5875,1824.3053,1701.3112,932.3141,122.9941,891.9912,592.5292,810.8431,1013.4622,1.2963,0.8733,0,84,1165174057.8217,150.2649,1165174039.5000,138.7500,39.0000,23.5000,634,28,100,1,10
109.4590,109.4590,360.2883,328.7623,191.7984,31.5260,168.4899,153.9880,140.2197,220.0686,1.2521,0.9670,0,28,1165174059.8453,152.8975,1165174059.5469,72.0000,0.5000,224.0000,637,36,101,1,10
53.6943,53.6943,175.9935,158.3704,90.5431,17.6230,85.4504,77.3439,70.2437,105.7498,1.2963,0.8733,0,14,1165174060.2862,182.0524,1165174059.9688,140.0000,0.6250,88.0000,639,36,102,1,10
684.0636,684.0636,1757.1632,1687.4858,962.4042,69.6774,794.7590,182.9194,601.6219,1155.5413,1.3426,0.7656,0,75,1165174169.1244,113.2781,1165174147.5000,109.2500,46.0000,8.0000,642,57,103,1,10
800.8213,800.8213,2140.6913,2002.1695,1103.9083,138.5218,1036.7830,877.4152,1008.2581,1132.4332,1.3426,0.7820,0,97,1165174078.2990,103.1217,1165174075.0625,46.0000,4.5000,156.0000,673,41,104,1,10
81.3580,81.3580,254.4049,235.0631,135.0802,19.3418,119.3247,73.8244,83.9991,170.4058,1.2963,0.8733,0,18,1165174130.4321,134.5497,1165174123.5000,132.7500,16.0000,3.5000,713,53,105,1,10
130.7550,130.7550,312.0830,302.1784,166.7396,9.9046,145.3434,79.7483,124.5727,187.5103,1.2963,0.8570,0,9,1165174148.0533,115.7224,1165174147.2500,114.5000,2.0000,3.0000,715,57,106,1,10
108.4582,108.4582,338.6163,313.9643,171.6883,24.6520,166.9281,84.5441,158.8321,179.7842,1.2963,0.8570,0,24,1165174171.0167,127.9966,1165174160.5000,126.2500,18.0000,3.5000,717,58,107,1,10
358.9962,358.9962,1099.7104,998.6964,593.6997,101.0140,506.0107,455.9816,419.2548,680.4555,1.2963,0.8733,0,70,1165174111.3781,116.6951,1165174108.5625,70.0000,4.3750,128.0000,720,52,108,1,10
31.1721,31.1721,117.1522,98.6099,69.8160,18.5423,47.3362,38.4625,19.9781,97.1741,1.2107,1.0634,0,10,1165174115.2660,125.9527,1165174115.1406,88.0000,0.2188,64.0000,727,51,109,1,10
287.7635,287.7635,849.9788,774.6425,440.0348,75.3363,409.9440,274.6646,361.3804,488.5985,1.2521,0.9670,0,48,1165174125.1390,145.5164,1165174112.5000,139.2500,26.0000,13.5000,730,51,110,1,10
452.1146,452.1146,1096.4785,1071.1161,636.9544,25.3624,459.5241,182.3154,324.9695,771.5090,1.2963,0.8570,0,38,1165174154.5577,118.9885,1165174147.5000,115.2500,15.0000,8.0000,735,57,111,1,10
2100.6493,2100.6493,5126.5968,4896.8074,2590.2698,229.7895,2536.3270,2115.1512,2368.6117,2757.9851,1.3426,0.7820,0,152,1165174123.5449,151.6667,1165174119.3750,109.0000,9.7500,140.0000,738,53,112,1,10
109.5658,109.5658,326.7705,304.9483,185.7904,21.8223,140.9801,131.2937,107.0004,219.7702,1.3426,0.7820,0,22,1165174121.6756,83.6161,1165174119.8750,69.0000,3.2500,32.0000,740,52,113,1,10
1614.2173,1614.2173,4152.6062,3867.4870,2083.8715,285.1192,2068.7347,1715.4993,1859.7762,2292.8299,1.4403,0.6048,0,139,1165174129.7727,149.8416,1165174125.6250,109.0000,9.7500,134.0000,747,53,114,1,10
1944.3138,1944.3138,4929.9351,4569.9159,2551.1143,360.0192,2378.8208,1944.6355,1885.0050,3044.9301,1.3426,0.7820,0,150,1165174132.5153,148.3663,1165174128.3750,107.0000,9.5000,136.0000,751,53,115,1,10
